symbol,lastPrice,pChange,open,dayHigh,dayLow,fetchTime
TATACOMM,1788.8,3.3,1700.3,1813.1,1700.3,2025-07-18 10:10:49
WIPRO,268.15,2.9,268.6,271.9,266,2025-07-18 10:10:49
POLYCAB,7029,2.08,6992,7080,6926.5,2025-07-18 10:10:49
LTF,203.41,1.82,201.01,204.8,199.78,2025-07-18 10:10:49
GMRAIRPORT,96.26,1.67,95.1,97,94.71,2025-07-18 10:10:49
PATANJALI,1940.6,1.64,1904,1952,1894.1,2025-07-18 10:10:49
MANAPPURAM,275,1.59,270.7,275.9,269.95,2025-07-18 10:10:49
HDFCAMC,5593,1.51,5528.5,5626,5510.5,2025-07-18 10:10:49
POONAWALLA,454.45,1.49,449.2,455.9,446.45,2025-07-18 10:10:49
KEI,3988,1.39,3950.9,4008.9,3947.5,2025-07-18 10:10:49
SAIL,135.38,1.33,133.46,135.64,133.41,2025-07-18 10:10:49
TATASTEEL,161.9,1.25,160.1,162.2,160.1,2025-07-18 10:10:49
JSL,687.35,1.25,681.55,699.4,681.25,2025-07-18 10:10:49
AMBER,7686,1.21,7598,7699,7550.5,2025-07-18 10:10:49
DELHIVERY,430.2,1.15,425.35,434.6,425.35,2025-07-18 10:10:49
OIL,451,1.02,446.65,451.9,445.45,2025-07-18 10:10:49
LODHA,1454,0.94,1447,1458.7,1442.2,2025-07-18 10:10:49
DALBHARAT,2210,0.93,2197.6,2222,2187.8,2025-07-18 10:10:49
IIFL,531.8,0.91,527,534.6,526,2025-07-18 10:10:49
PRESTIGE,1798.8,0.87,1792.1,1810.2,1780.6,2025-07-18 10:10:49
BAJFINANCE,931.1,0.84,920.5,932.8,920,2025-07-18 10:10:49
NMDC,70.12,0.81,69.82,70.89,69.76,2025-07-18 10:10:49
HINDCOPPER,269.65,0.75,268,270.5,266.75,2025-07-18 10:10:49
ABB,5678.5,0.73,5684,5727.5,5648,2025-07-18 10:10:49
RBLBANK,270.26,0.71,272,272.88,267.16,2025-07-18 10:10:49
BIOCON,399.8,0.71,397.2,401.9,396.35,2025-07-18 10:10:49
BPCL,349.1,0.68,347.5,351.45,343.1,2025-07-18 10:10:49
BOSCHLTD,38895,0.65,38645,39055,38580,2025-07-18 10:10:49
INDIGO,5832.5,0.62,5818,5854.5,5790.5,2025-07-18 10:10:49
VEDL,447.05,0.61,444.35,448.8,444.35,2025-07-18 10:10:49
JSWENERGY,534.8,0.6,532.5,538.75,531.5,2025-07-18 10:10:49
GODREJPROP,2351,0.6,2350,2357,2333.6,2025-07-18 10:10:49
TORNTPHARM,3523.8,0.55,3512.3,3533,3512.3,2025-07-18 10:10:49
ADANIENSOL,877.9,0.52,876.9,882.95,871.15,2025-07-18 10:10:49
GLENMARK,2238,0.51,2224.9,2254.9,2218,2025-07-18 10:10:49
PNBHOUSING,1097.7,0.48,1094,1100,1088.5,2025-07-18 10:10:49
HINDZINC,439.15,0.47,438.45,441.5,437.15,2025-07-18 10:10:49
PNB,114.29,0.44,113.99,114.81,113.27,2025-07-18 10:10:49
JINDALSTEL,954.65,0.44,951.9,962.9,951,2025-07-18 10:10:49
MGL,1529,0.41,1524,1535.6,1521.4,2025-07-18 10:10:49
NCC,229.87,0.38,228.99,231.9,228.35,2025-07-18 10:10:49
JSWSTEEL,1037.8,0.35,1039,1046.7,1036.8,2025-07-18 10:10:49
ONGC,244.7,0.34,244.74,246.1,244.2,2025-07-18 10:10:49
CROMPTON,350.8,0.34,350.5,351.95,348.7,2025-07-18 10:10:49
BHARATFORG,1228.8,0.33,1225.1,1238.1,1225.1,2025-07-18 10:10:49
M&M,3205.2,0.32,3208,3252,3200,2025-07-18 10:10:49
UNIONBANK,146.75,0.3,146.8,148.6,146.6,2025-07-18 10:10:49
SIEMENS,3119.2,0.29,3110.3,3150,3105,2025-07-18 10:10:49
AMBUJACEM,596.25,0.28,595,599.75,593.05,2025-07-18 10:10:49
HAVELLS,1536.8,0.27,1536,1547.5,1528.8,2025-07-18 10:10:49
HINDALCO,676.3,0.26,676.5,679.3,675.8,2025-07-18 10:10:49
ASTRAL,1508.8,0.25,1509,1512.8,1499.4,2025-07-18 10:10:49
OBEROIRLTY,1843.1,0.24,1848,1857,1837.8,2025-07-18 10:10:49
SHREECEM,30915,0.23,30895,31090,30810,2025-07-18 10:10:49
INDHOTEL,755.5,0.21,761,766.5,751.2,2025-07-18 10:10:49
POWERGRID,297.2,0.2,296.5,301.5,296.5,2025-07-18 10:10:49
INFY,1586.5,0.19,1592.1,1599.3,1583.6,2025-07-18 10:10:49
PFC,424.9,0.19,424.1,426.85,422.65,2025-07-18 10:10:49
MANKIND,2644,0.18,2640,2668.9,2630,2025-07-18 10:10:49
TVSMOTOR,2882.6,0.13,2890.2,2898.2,2877.5,2025-07-18 10:10:49
FEDERALBNK,212.84,0.12,212.58,213.28,211.71,2025-07-18 10:10:49
BANDHANBNK,185.42,0.12,184.64,187.65,184.3,2025-07-18 10:10:49
NBCC,114.56,0.09,114.49,115.4,114.47,2025-07-18 10:10:49
INDUSINDBK,865.9,0.09,866,868.6,861.25,2025-07-18 10:10:49
LT,3476.5,0.07,3489,3499,3475.8,2025-07-18 10:10:49
TATAMOTORS,682.05,0.05,683.2,686,681.4,2025-07-18 10:10:49
LICHSGFIN,638.6,0.05,639.2,646.5,635.25,2025-07-18 10:10:49
YESBANK,20.15,0.05,20.2,20.24,20.07,2025-07-18 10:10:49
DLF,847.4,0.04,850,852.55,846,2025-07-18 10:10:49
