Symbol,Name,Sector
AAATECH,AAA Technologies Limited,Smallcap
AADHARHFC,Aadhar Housing Finance Limited,Media & Entertainment
AAKASH,Aakash Exploration Services Limited,Realty
AAREYDRUGS,Aarey Drugs & Pharmaceuticals Limited,Financial Services
AARON,Aaron Industries Limited,Automobile
AARTECH,Aartech Solonics Limited,FMCG
AARTIDRUGS,Aarti Drugs Limited,Consumer Durables
AARTIIND,Aarti Industries Limited,Private Banks
AARTIPHARM,Aarti Pharmalabs Limited,Infrastructure
AARTISURF,Aarti Surfactants Limited,Largecap
AARVEEDEN,Aarvee Denims & Exports Limited,Largecap
AARVI,Aarvi Encon Limited,Services Sector
AAVAS,Aavas Financiers Limited,Financial Services
ABAN,Aban Offshore Limited,Services Sector
ABB,ABB India Limited,Healthcare
ABBOTINDIA,Abbott India Limited,Infrastructure
ABCAPITAL,Aditya Birla Capital Limited,Oil & Gas
ABDL,Allied Blenders and Distillers Limited,Oil & Gas
ABFRL,Aditya Birla Fashion and Retail Limited,Oil & Gas
ABINFRA,A B Infrabuild Limited,Infrastructure
ABLBL,Aditya Birla Lifestyle Brands Limited,Smallcap
ABMINTLLTD,ABM International Limited,Private Banks
ABREL,Aditya Birla Real Estate Limited,Energy
ABSLAMC,Aditya Birla Sun Life AMC Limited,Infrastructure
ACC,ACC Limited,Oil & Gas
ACCELYA,Accelya Solutions India Limited,Largecap
ACCURACY,Accuracy Shipping Limited,Healthcare
ACE,Action Construction Equipment Limited,Smallcap
ACEINTEG,Ace Integrated Solutions Limited,Consumer Durables
ACI,Archean Chemical Industries Limited,Media & Entertainment
ACL,Andhra Cements Limited,Automobile
ACLGATI,Allcargo Gati Limited,Metals
ACMESOLAR,Acme Solar Holdings Limited,Public Sector Banks
ACUTAAS,Acutaas Chemicals Limited,Metals
ADANIENSOL,Adani Energy Solutions Limited,Financial Services
ADANIENT,Adani Enterprises Limited,Financial Services
ADANIGREEN,Adani Green Energy Limited,Financial Services
ADANIPORTS,Adani Ports and Special Economic Zone Limited,Pharmaceuticals
ADANIPOWER,Adani Power Limited,Largecap
ADFFOODS,ADF Foods Limited,Realty
ADL,Archidply Decor Limited,Consumer Durables
ADOR,Ador Welding Limited,Public Sector Banks
ADROITINFO,Adroit Infotech Limited,Private Banks
ADSL,Allied Digital Services Limited,Information Technology
ADVANIHOTR,Advani Hotels & Resorts (India) Limited,Pharmaceuticals
ADVENZYMES,Advanced Enzyme Technologies Limited,Information Technology
AEGISLOG,Aegis Logistics Limited,Private Banks
AEGISVOPAK,Aegis Vopak Terminals Limited,Services Sector
AEROENTER,Aeroflex Enterprises Limited,Oil & Gas
AEROFLEX,Aeroflex Industries Limited,Midcap
AETHER,Aether Industries Limited,Infrastructure
AFCONS,Afcons Infrastructure Limited,Financial Services
AFFLE,Affle 3i Limited,Metals
AFFORDABLE,Affordable Robotic & Automation Limited,Metals
AFIL,Akme Fintrade (India) Limited,Oil & Gas
AFSL,Abans Financial Services Limited,Financial Services
AGARIND,Agarwal Industrial Corporation Limited,Automobile
AGARWALEYE,Dr. Agarwal's Health Care Limited,FMCG
AGI,AGI Greenpac Limited,Pharmaceuticals
AGIIL,Agi Infra Limited,Commodities
AGRITECH,Agri-Tech (India) Limited,Consumer Durables
AGROPHOS,Agro Phos India Limited,Midcap
AGSTRA,AGS Transact Technologies Limited,Largecap
AHLADA,Ahlada Engineers Limited,FMCG
AHLEAST,Asian Hotels (East) Limited,Consumer Durables
AHLUCONT,Ahluwalia Contracts (India) Limited,Infrastructure
